kb	official_url	genres_csv	accesses_csv	statuses_csv
Australian Business Register ABN Lookup	https://abr.business.gov.au/Search/Index	G10/G11	FREE_NO_AUTH	PARTIAL
Red Hat CVE Database	https://access.redhat.com/security/cve/	G29/G31	FREE_NO_AUTH	PASS
USDA APHIS Agricultural Commodity Import Requirements (ACIR)	https://acir.aphis.usda.gov/	G24/G21/G33	FREE_NO_AUTH	PARTIAL
NRC ADAMS Public Search	https://adams-search.nrc.gov/	G27/G25/G37	FREE_NO_AUTH	PARTIAL
SEC Investment Adviser Public Disclosure (IAPD)	https://adviserinfo.sec.gov/	G11	FREE_NO_AUTH	PARTIAL
FAO AGRIS	https://agris.fao.org/	G24/G37	FREE_NO_AUTH	PARTIAL
FAO AGROVOC	https://agrovoc.fao.org/	G14/G22/G24	FREE_NO_AUTH	PARTIAL
MLCommons AILuminate	https://ailuminate.mlcommons.org/	G30/G31	FREE_NO_AUTH	PASS
FAA Airmen Inquiry	https://aircraft.faa.gov/airmeninquiry/	G28/G12	FREE_NO_AUTH	PARTIAL
MIT AI Risk Repository	https://airisk.mit.edu/risks	G30/G31/G34	FREE_NO_AUTH	PARTIAL
Angular API Reference Search	https://angular.dev/reference	G29	FREE_NO_AUTH	PARTIAL
Animal Drugs @ FDA	https://animaldrugsatfda.fda.gov/	G24/G38	FREE_NO_AUTH	PARTIAL
France L’Annuaire des Entreprises / RNE	https://annuaire-entreprises.data.gouv.fr/	G10/G11	FREE_NO_AUTH	PARTIAL
Congress.gov API	https://api.congress.gov/	G07/G08	FREE_AUTH	PARTIAL
DataCite REST API	https://api.datacite.org/	G01/G37	FREE_NO_AUTH	PARTIAL
FIRST EPSS API	https://api.first.org/epss/	G31	FREE_NO_AUTH	PARTIAL
Flutter API Reference Search	https://api.flutter.dev/flutter/search.html	G29	FREE_NO_AUTH	PARTIAL
IUCN Red List API v4	https://api.iucnredlist.org/	G22/G21	CONSTRAINED	PARTIAL
Laravel API Documentation Search	https://api.laravel.com/	G29	FREE_NO_AUTH	PARTIAL
OBIS API v3	https://api.obis.org/	G21/G22	FREE_NO_AUTH	PARTIAL
FEC OpenFEC API / Campaign Finance Search	https://api.open.fec.gov/developers/	G07/G11	FREE_AUTH	PARTIAL
Protected Planet API v4	https://api.protectedplanet.net/documentation	G17/G21/G22	FREE_AUTH	PARTIAL
USGS Water Data APIs	https://api.waterdata.usgs.gov/docs/	G21	FREE_NO_AUTH	PARTIAL
National Weather Service API	https://api.weather.gov/	G21	FREE_NO_AUTH	PARTIAL
World Archery API	https://api.worldarchery.org/v3/API/AthleteResults	G17	FREE_NO_AUTH	PARTIAL
FCC OET Knowledge Database (KDB)	https://apps.fcc.gov/oetcf/kdb/index.cfm	G32/G36	FREE_NO_AUTH	PARTIAL
IRS Tax Exempt Organization Search (TEOS)	https://apps.irs.gov/app/eos/	G08/G10/G11	FREE_NO_AUTH	PARTIAL
OpenEI Utility Rate Database API	https://apps.openei.org/services/	G27	FREE_AUTH	PARTIAL
Arch Linux Package Search	https://archlinux.org/packages/	G29	FREE_NO_AUTH	PARTIAL
arXiv Search	https://arxiv.org/search/	G37/G18/G19/G29/G30	FREE_NO_AUTH	PARTIAL
MITRE ATLAS	https://atlas.mitre.org/	G30/G31	FREE_NO_AUTH	PARTIAL
MITRE ATT&CK TAXII/STIX	https://attack.mitre.org/resources/attack-data-and-tools/	G31	FREE_NO_AUTH	PASS
Library of Congress Authorities	https://authorities.loc.gov/	G01/G14/G15	FREE_NO_AUTH	PARTIAL
BacDive｜Bacterial Diversity Metadatabase	https://bacdive.dsmz.de/	G22	FREE_NO_AUTH	PASS
FDIC BankFind Suite	https://banks.data.fdic.gov/bankfind-suite	G11	FREE_NO_AUTH	PARTIAL
BELIT｜Bioethics Literature Database	https://belit.drze.de/	G02	FREE_NO_AUTH	PARTIAL
Bioconductor Package / Code Search	https://bioconductor.org/	G29/G30	FREE_NO_AUTH	PARTIAL
NCBO BioPortal	https://bioportal.bioontology.org/	G03/G14/G23	FREE_NO_AUTH	PARTIAL
Sweden Bolagsverket Find Company Information	https://bolagsverket.se/en/sokforetagsinformation/omsokforetagsinformation.3045.html	G10	FREE_NO_AUTH	PARTIAL
DOE Building Performance Database (BPD)	https://bpd.lbl.gov/	G26/G27/G37	FREE_NO_AUTH	PARTIAL
FINRA BrokerCheck	https://brokercheck.finra.org/	G11/G12	FREE_NO_AUTH	PARTIAL
SNOMED International SNOMED CT Browser	https://browser.ihtsdotools.org/	G03/G14/G23	FREE_NO_AUTH	PARTIAL
CanadaBuys Tender Opportunities	https://canadabuys.canada.ca/en/tender-opportunities	G07/G10	FREE_NO_AUTH	PARTIAL
UK Find Case Law	https://caselaw.nationalarchives.gov.uk/	G08	FREE_NO_AUTH	PARTIAL
NVIDIA NGC Catalog	https://catalog.ngc.nvidia.com/search	G29/G30	FREE_NO_AUTH	PARTIAL
NASA SPDF CDAWeb / CDAS API	https://cdaweb.gsfc.nasa.gov/	G19/G21	FREE_NO_AUTH	PARTIAL
NIST Materials Resource Registry	https://cdcs.registry.nist.gov/explore/keyword/	G20/G25/G26/G37	FREE_NO_AUTH	PARTIAL
FBI Crime Data Explorer	https://cde.ucr.cjis.gov/	G34	FREE_NO_AUTH	PARTIAL
SeaDataNet CDI Data Discovery and Access Service	https://cdi.seadatanet.org/search	G21	CONSTRAINED	PARTIAL
Maven Central Search REST API	https://central.sonatype.org/search/rest-api-guide/	G29	FREE_NO_AUTH	BLOCKED
EPA Lead-Safe Certified Firm Search / RRP	https://cfpub.epa.gov/flpp/pub/index.cfm?do=main.firmSearch	G20/G33/G38	FREE_NO_AUTH	PARTIAL
USCG Port State Information Exchange (PSIX)	https://cgmix.uscg.mil/psix/	G28/G35	FREE_NO_AUTH	PARTIAL
OWASP Cheat Sheet Series	https://cheatsheetseries.owasp.org/	G31/G29	FREE_NO_AUTH	PARTIAL
ChEMBL Data Web Services	https://chembl.gitbook.io/chembl-interface-documentation/web-services/chembl-data-web-services	G20/G23	FREE_NO_AUTH	PARTIAL
Clang Documentation Search	https://clang.llvm.org/docs/	G29	FREE_NO_AUTH	PASS
Clojure Reference / REPL Documentation Search	https://clojure.org/guides/repl/basic_usage	G29	FREE_NO_AUTH	PASS
NASA Earthdata CMR Search	https://cmr.earthdata.nasa.gov/search/site/docs/search/api.html	G05/G21/G37	FREE_NO_AUTH	PASS
CocoaPods.org Search	https://cocoapods.org/	G29	FREE_NO_AUTH	PARTIAL
Museums Victoria Collections API	https://collections.museumsvictoria.com.au/developers	G16/G22	FREE_NO_AUTH	PARTIAL
College Scorecard API	https://collegescorecard.ed.gov/data/documentation/	G13	FREE_AUTH	PARTIAL
New Zealand Companies Register	https://companies-register.companiesoffice.govt.nz/search/	G10	FREE_NO_AUTH	PARTIAL
